Date,Open,High,Low,Close,Adj Close,Volume
2015-05-11,null,null,null,null,null,null
2015-05-18,60.160000,61.340000,60.110001,60.740002,53.080082,6141500
2015-05-25,60.709999,61.340000,59.910000,60.810001,53.141254,7547100
2015-06-01,60.910000,61.220001,57.500000,57.680000,50.405975,8904300
2015-06-08,57.689999,58.220001,57.169998,57.200001,49.986515,7020000
2015-06-15,57.240002,59.430000,56.880001,58.610001,51.218693,8971200
2015-06-22,58.160000,58.910000,55.180000,56.230000,49.138824,20184600
2015-06-29,56.189999,57.750000,55.330002,57.549999,50.670132,10517500
2015-07-06,57.380001,59.110001,56.889999,57.950001,51.022308,10114400
2015-07-13,58.099998,59.189999,57.360001,58.540001,51.541782,9279400
2015-07-20,58.430000,58.820000,57.189999,57.650002,50.758183,9567800
2015-07-27,57.430000,61.240002,57.430000,60.009998,52.836048,10065300
2015-08-03,60.049999,61.270000,59.490002,61.009998,53.716503,9295100
2015-08-10,61.000000,61.209999,58.410000,61.139999,53.830967,16698800
2015-08-17,60.970001,63.180000,60.480000,62.139999,54.711422,13254000
2015-08-24,61.669998,62.810001,57.279999,59.639999,52.510281,18688600
2015-08-31,59.410000,59.450001,56.680000,57.049999,50.229912,11063600
2015-09-07,57.820000,58.360001,56.689999,57.919998,50.995903,7756000
2015-09-14,58.020000,62.160000,57.790001,61.290001,53.963039,15194000
2015-09-21,61.470001,63.049999,60.369999,62.330002,54.878708,11567100
2015-09-28,61.790001,63.259998,61.299999,63.119999,55.574265,10307500
2015-10-05,63.330002,63.930000,62.450001,63.139999,55.966751,9782300
2015-10-12,63.180000,64.919998,63.150002,64.279999,56.977234,8491000
2015-10-19,64.180000,66.290001,63.759998,64.550003,57.216564,10384200
2015-10-26,64.760002,65.290001,59.840000,60.520000,53.644409,16147500
2015-11-02,60.450001,61.150002,57.509998,59.060001,52.350269,14708400
2015-11-09,58.820000,60.939999,58.680000,59.700001,52.917564,13610700
2015-11-16,59.590000,61.160000,58.470001,60.580002,53.697586,9977700
2015-11-23,60.730000,60.820000,58.980000,59.430000,52.678238,6161500
2015-11-30,59.570000,60.340000,57.849998,60.209999,53.369625,12821100
2015-12-07,60.130001,60.250000,58.490002,59.230000,52.500961,12452700
2015-12-14,59.299999,61.349998,58.810001,59.660000,52.882111,10509800
2015-12-21,59.970001,60.610001,58.540001,60.360001,53.502583,6404900
2015-12-28,60.240002,60.849998,58.740002,59.209999,52.483227,7036400
2016-01-04,58.570000,59.209999,57.970001,58.279999,52.072502,14205300
2016-01-11,58.459999,60.200001,58.270000,59.119999,52.823029,13241500
2016-01-18,59.450001,60.310001,58.240002,59.730000,53.368061,10428500
2016-01-25,59.799999,62.340000,59.209999,61.799999,55.217583,13006800
2016-02-01,61.810001,64.480003,61.490002,63.290001,56.548874,16080800
2016-02-08,63.340000,64.300003,61.509998,61.759998,55.181839,11792300
2016-02-15,61.930000,64.010002,61.500000,62.889999,56.191483,8388000
2016-02-22,63.240002,69.239998,62.980000,67.260002,60.096035,19012100
2016-02-29,67.199997,68.879997,65.599998,67.709999,60.498100,13663500
2016-03-07,67.839996,70.779999,67.400002,70.400002,62.901588,12170900
2016-03-14,70.239998,71.639999,69.180000,71.430000,63.821880,10993400
2016-03-21,71.150002,71.930000,70.540001,71.339996,63.741470,7151700
2016-03-28,71.419998,72.410004,70.730003,71.940002,64.277557,9344300
2016-04-04,72.000000,72.379997,69.940002,70.690002,63.588676,9024900
2016-04-11,70.750000,71.250000,69.669998,71.059998,63.921490,7945400
2016-04-18,70.129997,71.500000,67.709999,68.650002,61.753601,6840400
2016-04-25,68.620003,70.720001,68.209999,70.709999,63.606655,7575600
2016-05-02,70.779999,73.250000,70.389999,71.989998,64.758057,10302900
2016-05-09,72.129997,72.660004,70.830002,71.410004,64.236336,9743800
2016-05-16,71.230003,71.559998,68.470001,70.050003,63.012947,8404600
2016-05-23,70.099998,71.169998,69.160004,70.779999,63.669624,5932600
2016-05-30,70.790001,73.000000,70.720001,72.529999,65.243820,6894100
2016-06-06,72.570000,74.110001,72.150002,73.959999,66.530159,5939500
2016-06-13,74.080002,74.459999,73.160004,74.120003,66.674095,6259300
2016-06-20,74.029999,75.370003,73.209999,74.589996,67.096886,6376600
2016-06-27,74.419998,78.029999,74.419998,77.650002,69.849487,12011200
2016-07-04,77.779999,78.720001,76.040001,78.169998,70.761536,8314300
2016-07-11,77.760002,78.070000,74.449997,77.180000,69.865356,9632600
2016-07-18,77.309998,77.660004,75.989998,77.639999,70.281754,6582500
2016-07-25,77.620003,77.870003,75.419998,77.379997,70.046387,6947500
2016-08-01,77.040001,77.400002,74.889999,74.989998,67.882904,6608700
2016-08-08,75.150002,76.239998,74.610001,75.839996,68.652336,5471200
2016-08-15,75.820000,75.980003,72.639999,74.209999,67.176826,9231400
2016-08-22,74.419998,74.769997,71.760002,71.900002,65.085770,6434700
2016-08-29,72.040001,73.879997,71.739998,73.699997,66.715164,7880200
2016-09-05,73.959999,74.500000,71.309998,71.400002,64.633141,6996100
2016-09-12,71.379997,73.139999,71.349998,73.080002,66.153923,8760700
2016-09-19,73.209999,75.959999,72.980003,75.620003,68.453194,6325200
2016-09-26,75.639999,76.300003,71.910004,72.250000,65.402588,7670400
2016-10-03,72.059998,72.139999,69.209999,69.889999,63.677956,9814800
2016-10-10,70.080002,71.480003,69.230003,70.849998,64.552628,6986500
2016-10-17,71.089996,72.410004,70.489998,70.900002,64.598183,8557000
2016-10-24,71.220001,72.040001,70.680000,71.879997,65.491089,5079400
2016-10-31,71.970001,73.809998,69.970001,70.309998,64.060631,8441700
2016-11-07,70.760002,72.629997,67.610001,68.849998,62.730404,10135900
2016-11-14,68.620003,69.800003,67.440002,68.449997,62.365948,7446800
2016-11-21,68.800003,69.970001,68.529999,69.760002,63.559517,4788800
2016-11-28,69.959999,71.739998,67.730003,69.400002,63.231525,8678100
2016-12-05,69.129997,70.330002,68.010002,69.970001,63.750858,11750900
2016-12-12,69.660004,71.839996,68.809998,71.720001,65.345306,12306800
2016-12-19,71.779999,72.480003,71.120003,71.900002,65.509315,6711300
2016-12-26,71.589996,72.620003,71.040001,71.989998,65.591309,6105000
2017-01-02,71.760002,72.730003,71.070000,71.690002,65.814278,8098400
2017-01-09,71.910004,72.489998,70.570000,72.099998,66.190674,6171200
2017-01-16,72.389999,72.949997,71.540001,71.970001,66.071342,4987200
2017-01-23,72.080002,72.330002,71.480003,72.000000,66.098854,5530800
2017-01-30,72.290001,72.900002,71.349998,72.540001,66.594620,9317000
2017-02-06,72.830002,75.230003,72.389999,75.209999,69.045784,10041600
2017-02-13,75.199997,76.430000,74.260002,76.339996,70.083160,7854800
2017-02-20,76.040001,78.940002,75.910004,78.870003,72.405800,8910000
2017-02-27,78.930000,80.610001,78.449997,79.489998,72.974991,10610300
2017-03-06,79.400002,79.620003,77.930000,78.809998,72.350723,8475100
2017-03-13,78.750000,80.040001,77.889999,79.599998,73.075981,12817700
2017-03-20,79.699997,80.989998,78.529999,80.709999,74.094994,8583300
2017-03-27,80.980003,81.330002,79.150002,79.610001,73.085144,6634000
2017-04-03,79.620003,80.860001,78.849998,80.250000,74.170067,9564400
2017-04-10,80.230003,80.849998,79.519997,80.309998,74.225525,4968900
2017-04-17,80.570000,81.190002,79.800003,80.599998,74.493553,6812500
2017-04-24,80.519997,81.059998,79.839996,79.970001,73.911285,8108200
2017-05-01,80.139999,80.550003,78.570000,79.699997,73.661736,7260200
2017-05-08,79.930000,79.970001,77.690002,78.779999,72.811440,8683400
2017-05-15,78.680000,79.150002,77.209999,78.199997,72.275375,9334100
2017-05-22,77.919998,80.239998,77.919998,79.959999,73.902039,5732000
2017-05-29,79.889999,82.820000,79.839996,82.010002,75.796730,7697900
2017-06-05,81.820000,82.269997,80.480003,81.290001,75.131287,7483200
2017-06-12,81.260002,82.589996,79.720001,82.180000,75.953850,9629300
2017-06-19,82.330002,82.339996,79.820000,80.029999,73.966743,6649000
2017-06-26,80.050003,80.970001,77.260002,78.190002,72.266144,10599800
2017-07-03,78.400002,78.459999,76.440002,76.830002,71.499802,4548000
2017-07-10,76.970001,78.470001,76.379997,77.449997,72.076782,9336700
2017-07-17,77.389999,79.010002,77.320000,78.980003,73.500648,6878700
2017-07-24,78.930000,79.349998,78.080002,78.250000,72.821297,8783600
2017-07-31,77.750000,79.440002,77.750000,79.290001,73.789139,6726100
2017-08-07,79.239998,80.260002,78.940002,79.529999,74.012489,4833400
2017-08-14,79.419998,81.330002,78.699997,78.940002,73.463417,13577700
2017-08-21,78.970001,81.260002,78.910004,80.750000,75.147850,7820000
2017-08-28,81.000000,81.320000,79.540001,79.959999,74.412643,5994200
2017-09-04,80.059998,80.779999,79.400002,80.739998,75.646751,7366500
2017-09-11,80.750000,81.580002,80.339996,81.199997,76.077736,12583900
2017-09-18,81.150002,81.410004,78.220001,78.279999,73.341934,9569100
2017-09-25,78.330002,79.449997,76.930000,77.169998,72.301949,9045800
2017-10-02,77.440002,77.879997,76.550003,77.620003,73.232391,7651900
2017-10-09,77.790001,79.879997,77.389999,77.989998,73.581467,9969000
2017-10-16,77.900002,79.830002,76.930000,79.599998,75.100456,10549900
2017-10-23,79.839996,80.199997,78.550003,79.470001,74.977806,6662600
2017-10-30,79.339996,80.639999,78.629997,79.519997,75.024979,8192800
2017-11-06,79.570000,80.430000,78.680000,80.059998,75.534470,7576800
2017-11-13,80.180000,83.379997,80.160004,80.889999,76.317551,8185100
2017-11-20,80.839996,81.139999,79.720001,80.550003,75.996765,4533000
2017-11-27,80.620003,81.959999,80.339996,80.760002,76.194908,7622300
2017-12-04,80.739998,81.190002,67.800003,71.800003,67.741386,42252100
2017-12-11,71.690002,73.230003,67.279999,69.709999,65.769508,27760500
2017-12-18,70.019997,71.110001,62.669998,65.230003,61.542755,28549700
2017-12-25,65.250000,65.300003,63.189999,63.240002,59.665245,8841900
2018-01-01,63.630001,63.730000,62.029999,62.980000,59.983452,13673300
2018-01-08,62.910000,64.339996,61.250000,61.419998,58.497673,18263000
2018-01-15,61.509998,62.639999,60.639999,62.119999,59.164375,14622900
2018-01-22,62.349998,62.840000,61.520000,62.459999,59.488190,14161200
2018-01-29,62.169998,67.559998,61.160000,61.599998,58.669109,26997700
2018-02-05,61.439999,61.959999,57.630001,58.939999,56.135670,20875700
2018-02-12,59.049999,61.369999,58.689999,61.049999,58.145279,14114100
2018-02-19,60.810001,62.560001,58.869999,62.169998,59.211990,12785100
2018-02-26,62.070000,62.619999,59.040001,59.590000,56.754749,16836900
2018-03-05,59.410000,60.840000,58.799999,59.380001,56.554737,11821300
2018-03-12,59.279999,65.150002,59.119999,65.150002,62.050205,30383700
2018-03-19,65.080002,65.269997,61.770000,62.160000,59.202465,15718100
2018-03-26,62.410000,63.779999,61.470001,63.660000,60.631100,10157400
2018-04-02,63.790001,64.110001,62.090000,63.380001,60.948326,9581000
2018-04-09,63.230000,63.860001,62.599998,63.439999,61.006023,11171200
2018-04-16,63.630001,65.820000,63.299999,64.120003,61.659939,9901900
2018-04-23,64.169998,66.599998,63.730000,65.790001,63.265862,7802000
2018-04-30,66.000000,66.099998,62.540001,63.689999,61.246433,8169000
2018-05-07,63.549999,63.740002,60.230000,62.290001,59.900146,8567400
2018-05-14,62.180000,62.509998,60.490002,61.250000,58.900047,9362700
2018-05-21,61.419998,63.369999,60.869999,62.980000,60.563679,6296900
